Word,POS
코앞,NNG
확신,NNG
여자친구,NNP
위안,NNG
아무것,NNG
비교,NNG
시기,NNG
과정,NNG
네이버,NNP
인턴,NNG
장점,NNG
어필,NNG
답변,NNG
만족,NNG
건강,NNG
신혼,NNG
배,NNG
한숨,NNG
푹푹,MAG
검진,NNG
복부비만,NNP
지방,NNG
살,NNG
예식장,NNG
호텔,NNG
고급,NNG
결혼식,NNG
여기,NP
하루하루,NNG
쳇바퀴,NNG
느낌,NNG
계약직,NNG
정규직,NNG
교회,NNG
절,NNG
자체,NNG
혼란,NNG
군대,NNG
복학,NNG
대학교,NNG
메신저,NNG
얘기,NNG
존재감,NNG
배신,NNG
그녀,NP
고백,NNG
식사,NNG
교류,NNG
열,NR
불,XPN
충격,NNG
왠지,MAG
철저히,MAG
부분,NNG
여자,NNG
최종,NNG
자신감,NNG
유튜브,NNP
십,NR
구독자,NNG
도달,NNG
벌써,MAG
고통,NNG
매사,NNG
정식,NNG
승진,NNG
포기,NNG
기타,NNG
전부,MAG
모임,NNG
소개팅,NNG
거절,NNG
언젠가,MAG
인연,NNG
영국,NNP
섬,NNG
바람,NNG
전형,NNG
전기자동차,NNP
좌절감,NNG
꼴,NNG
스킨십,NNG
술,NNG
거기,NP
현금,NNG
절교,NNG
말싸움,NNG
일정,NNG
조율,NNG
대답,NNG
후회돼,NNG
기술,NNG
긴장,NNG
연습,NNG
반복,NNG
아무리,MAG
수십,NR
대인,NNG
관계,NNG
편안,NNG
이성,NNG
과거,NNG
훨씬,MAG
방어,NNG
의문,NNG
미안,NNG
똑같이,MAG
매번,MAG
누구,NP
이십,NR
지기,NNG
질투,NNG
제,XPN
해코지,NNG
유부남,NNG
피부,NNG
총각,NNG
춤,NNG
선생,NNG
출발,NNG
학원,NNG
정,NNG
다행히,MAG
멀리,MAG
가끔,MAG
나중,NNG
취업난,NNG
끊임없이,MAG
필요,NNG
저녁,NNG
회의,NNG
아마,MAG
정신,NNG
의심,NNG
재차,MAG
확인,NNG
안도감,NNG
프러포즈,NNG
조심스레,MAG
착각,NNG
팀장,NNG
주위,NNG
도움,NNG
잔뜩,MAG
공짜,NNG
세태,NNG
회의감,NNG
장래,NNG
파혼,NNG
와이프,NNG
실전,NNG
조심,NNG
직무,NNG
이익,NNG
전공자,NNG
실력,NNG
제때,NNG
걔,NP
